,logFC,AveExpr,t,adj.P.Val,B,EntrezID,symbols,P.Value,Rank_1,HPO_Freq,NewP.value,Rank_2,Rank_1-Rank2
244267_at,-0.125084628,3.355212628,-2.089461745,0.50357171,-3.946767944,6304,SATB1,0.048842081,3468,0,0.048842081,4888,-1420
223574_x_at,-0.133540554,4.401357513,-2.088982646,0.503753383,-3.947551598,5522,PPP2R2C,0.04888935,3470,0,0.04888935,4889,-1419
1562895_at,-0.122862179,3.602795278,-2.088826694,0.503753383,-3.947806662,101927502,LOC101927502,0.048904746,3471,0,0.048904746,4890,-1419
1560277_a_at,-0.103211428,5.725213432,-2.088384484,0.503753383,-3.948529842,283403,C12orf80,0.048948424,3473,0,0.048948424,4891,-1418
211906_s_at,-0.097159072,2.923020435,-2.088167712,0.503753383,-3.948884311,6318,SERPINB4,0.048969848,3474,0,0.048969848,4892,-1418
240967_at,-0.101269708,3.52279339,-2.088132709,0.503753383,-3.948941548,337970,KRTAP19-3,0.048973309,3475,0,0.048973309,4893,-1418
202510_s_at,-0.263687818,7.178923797,-2.088106033,0.503753383,-3.948985167,7127,TNFAIP2,0.048975946,3476,0,0.048975946,4894,-1418
236788_at,-0.116414786,4.370158955,-2.088070302,0.503753383,-3.949043592,102724323,LOC102724323,0.048979478,3477,0,0.048979478,4895,-1418
200837_at,0.023474319,9.652728511,0.34303062,0.941055704,-5.780181411,10134,BCAP31,0.73493818,17635,14,0.048995879,4896,12739
221735_at,-0.144721095,8.119733701,-2.087720726,0.503792466,-3.949615159,57599,WDR48,0.049014052,3478,0,0.049014052,4897,-1419
202946_s_at,-0.72660718,6.244149293,-2.087679181,0.503792466,-3.949683081,22903,BTBD3,0.049018162,3479,0,0.049018162,4898,-1419
225792_at,-0.436021899,6.67434542,-2.087659234,0.503792466,-3.949715694,51361,HOOK1,0.049020136,3480,0,0.049020136,4899,-1419
225107_at,0.149896351,9.052548538,1.075089718,0.767524401,-5.297687221,3181,HNRNPA2B1,0.294363686,10922,5,0.049060614,4900,6022
241065_x_at,0.173503491,6.042316237,2.086982375,0.50400747,-3.950822188,55907,CMAS,0.049087147,3481,0,0.049087147,4901,-1420
208183_at,-0.001499734,4.09444052,-0.022077222,0.996606574,-5.836232201,6870,TACR3,0.982591892,20042,19,0.049129595,4902,15140
201399_s_at,0.18389397,10.47222236,2.086491544,0.504076589,-3.951624432,23471,TRAM1,0.049135793,3482,0,0.049135793,4903,-1421
1562871_at,-0.10731133,4.337659522,-2.086449352,0.504076589,-3.951693389,344454,AOX2P,0.049139977,3483,0,0.049139977,4904,-1421
223840_s_at,-0.154486743,4.099480028,-2.086311361,0.504122387,-3.951918906,83890,SPATA9,0.049153662,3484,0,0.049153662,4905,-1421
231009_at,-0.130909316,3.479384055,-2.086127377,0.50417814,-3.952219573,84647,PLA2G12B,0.049171913,3485,0,0.049171913,4906,-1421
215259_s_at,-0.144601123,3.635419265,-2.085977741,0.50417814,-3.952464098,199731,CADM4,0.049186762,3486,0,0.049186762,4907,-1421
40225_at,0.0913706,9.008098942,2.08562941,0.504438037,-3.953033273,2580,GAK,0.049221343,3487,0,0.049221343,4908,-1421
227796_at,-0.154833723,8.077703035,-2.085274744,0.504629136,-3.953612736,643836,ZFP62,0.049256575,3488,0,0.049256575,4909,-1421
219627_at,0.153396718,6.060562136,2.08525589,0.504629136,-3.953643539,79970,ZNF767P,0.049258449,3489,0,0.049258449,4910,-1421
239360_at,-0.109813201,4.097405811,-2.085048165,0.504746076,-3.953982896,102723886,LOC102723886,0.049279096,3490,0,0.049279096,4911,-1421
1557848_at,-0.187380556,4.69300064,-2.084915795,0.504786313,-3.954199136,101929084,LINC02401,0.049292257,3491,0,0.049292257,4912,-1421
210361_s_at,-0.106455651,7.059658542,-2.084821988,0.504787297,-3.954352374,1998,ELF2,0.049301585,3492,0,0.049301585,4913,-1421
219608_s_at,0.095640423,6.620151505,1.331078876,0.697484777,-5.022743238,81545,FBXO38,0.197237445,8670,3,0.049309361,4914,3756
1558963_at,-0.111783142,3.585074201,-2.084350999,0.505150495,-3.95512169,23378,RRP8,0.049348447,3493,0,0.049348447,4915,-1422
203830_at,-0.187998212,7.379121725,-2.083994379,0.505346765,-3.955704122,64149,C17orf75,0.049383956,3494,0,0.049383956,4916,-1422
223434_at,0.616275067,7.061853399,2.083429349,0.505526918,-3.956626802,2635,GBP3,0.049440263,3495,0,0.049440263,4917,-1422
214087_s_at,-0.079406567,3.676103978,-1.069867727,0.768935277,-5.302762715,4604,MYBPC1,0.296654579,10973,5,0.04944243,4918,6055
229476_s_at,0.119078138,3.595658187,2.082942054,0.505526918,-3.957422417,7069,THRSP,0.04948887,3497,0,0.04948887,4919,-1422
32088_at,-0.180782593,5.237206524,-2.082849737,0.505526918,-3.957573132,8548,BLZF1,0.049498083,3498,0,0.049498083,4920,-1422
206004_at,-0.124638819,4.884755947,-2.082809794,0.505526918,-3.957638341,7053,TGM3,0.04950207,3499,0,0.04950207,4921,-1422
243407_at,0.020535799,4.592126041,0.266837484,0.955825715,-5.802368012,256471,MFSD8,0.792160912,18280,15,0.049510057,4922,13358
