gene,p_value,HPO_Freq,Rank_1,New_Pvalue,Rank_2,Rank1-Rank2
CHST12,0.121623854,0,2724,1.22E-01,3680,-956
TRAF3IP1,0.121643508,0,2725,1.22E-01,3681,-956
LOC102152973,0.122098063,0,2726,1.22E-01,3682,-956
ARHGEF11,0.122098063,0,2727,1.22E-01,3683,-956
LRRC71,0.122098063,0,2728,1.22E-01,3684,-956
NME2,0.122328652,0,2730,1.22E-01,3685,-955
MBTD1,0.122328652,0,2731,1.22E-01,3686,-955
KCTD3,0.122345477,0,2732,1.22E-01,3687,-955
LOC106558708,0.122389582,0,2733,1.22E-01,3688,-955
GSE1,0.122418738,0,2734,1.22E-01,3689,-955
TLN2,0.122469967,0,2735,1.22E-01,3690,-955
SYNPO2,0.12259786,0,2736,1.23E-01,3691,-955
LOC485140,0.122606839,0,2737,1.23E-01,3692,-955
LOC485141,0.122606839,0,2738,1.23E-01,3693,-955
PPP3CA,0.122625393,0,2739,1.23E-01,3694,-955
FIGNL2,0.122692395,0,2740,1.23E-01,3695,-955
ATL3,0.245557495,1,4742,1.23E-01,3696,1046
GATAD2B,0.98273002,7,12263,1.23E-01,3697,8566
TRPC7,0.122898668,0,2742,1.23E-01,3698,-956
LOC102153297,0.122898668,0,2743,1.23E-01,3699,-956
ARMC9,0.122965245,0,2744,1.23E-01,3700,-956
LOC608563,0.123045422,0,2746,1.23E-01,3701,-955
C21H11orf58,0.123045422,0,2747,1.23E-01,3702,-955
PLEKHA7,0.123045422,0,2748,1.23E-01,3703,-955
LOC102155748,0.123045422,0,2749,1.23E-01,3704,-955
SRGAP2,0.123108511,0,2750,1.23E-01,3705,-955
MMRN1,0.123159802,0,2751,1.23E-01,3706,-955
HECTD4,0.123182475,0,2752,1.23E-01,3707,-955
SLC5A7,0.616169982,4,9415,1.23E-01,3708,5707
EMC1,0.123261871,0,2753,1.23E-01,3709,-956
BST2,0.123335376,0,2754,1.23E-01,3710,-956
TMEM38A,0.123335376,0,2755,1.23E-01,3711,-956
LOC106557920,0.123347978,0,2756,1.23E-01,3712,-956
CCDC181,0.123527632,0,2758,1.24E-01,3713,-955
BLZF1,0.123527632,0,2759,1.24E-01,3714,-955
CLMN,0.123556149,0,2760,1.24E-01,3715,-955
DIAPH3,0.247190141,1,4765,1.24E-01,3716,1049
LOC106560051,0.123792479,0,2761,1.24E-01,3717,-956
LOC106557864,0.123857513,0,2762,1.24E-01,3718,-956
CCDC124,0.123890708,0,2763,1.24E-01,3719,-956
LOC611922,0.123913378,0,2764,1.24E-01,3720,-956
C29H8orf34,0.123923528,0,2766,1.24E-01,3721,-955
CTHRC1,0.37191142,2,6547,1.24E-01,3722,2825
CFAP126,0.123983586,0,2767,1.24E-01,3723,-956
LOC106558234,0.123991561,0,2769,1.24E-01,3724,-955
LOC488303,0.123991561,0,2770,1.24E-01,3725,-955
LOC488306,0.123991561,0,2771,1.24E-01,3726,-955
LOC488305,0.123991561,0,2772,1.24E-01,3727,-955
DAAM1,0.124037357,0,2773,1.24E-01,3728,-955
TRIB1,0.124256455,0,2774,1.24E-01,3729,-955
SEC11A,0.124269291,0,2775,1.24E-01,3730,-955
LOC102151661,0.12435606,0,2776,1.24E-01,3731,-955
CRYGD,0.497763132,3,8169,1.24E-01,3732,4437
FAM227B,0.124475549,0,2777,1.24E-01,3733,-956
HEY2,0.12458286,0,2779,1.25E-01,3734,-955
KCNA2,0.749014213,5,10609,1.25E-01,3735,6874
USP15,0.124921851,0,2780,1.25E-01,3736,-956
LOC106559357,0.124921851,0,2781,1.25E-01,3737,-956
MON2,0.124921851,0,2782,1.25E-01,3738,-956
HS3ST4,0.12498541,0,2783,1.25E-01,3739,-956
LRRC23,0.125060248,0,2784,1.25E-01,3740,-956
LOC106557889,0.125060248,0,2785,1.25E-01,3741,-956
SPSB2,0.125060248,0,2786,1.25E-01,3742,-956
C18H7orf57,0.125075086,0,2787,1.25E-01,3743,-956
UPP1,0.125075086,0,2788,1.25E-01,3744,-956
VWC2,0.125075086,0,2789,1.25E-01,3745,-956
IKZF1,0.125075086,0,2790,1.25E-01,3746,-956
VSTM2A,0.125075086,0,2792,1.25E-01,3747,-955
LANCL2,0.125075086,0,2793,1.25E-01,3748,-955
BLVRA,0.125075086,0,2794,1.25E-01,3749,-955
COA1,0.125075086,0,2795,1.25E-01,3750,-955
STK17A,0.125075086,0,2796,1.25E-01,3751,-955
HECW1,0.125075086,0,2797,1.25E-01,3752,-955
LOC106558353,0.125115916,0,2798,1.25E-01,3753,-955
LOC106558720,0.125439291,0,2799,1.25E-01,3754,-955
CFDP1,0.125439291,0,2800,1.25E-01,3755,-955
LOC102155543,0.125439291,0,2801,1.25E-01,3756,-955
UBAP1L,0.125476004,0,2802,1.25E-01,3757,-955
RC3H2,0.125505631,0,2803,1.26E-01,3758,-955
PTPRQ,0.376750218,2,6615,1.26E-01,3759,2856
KDELC2,0.125599059,0,2804,1.26E-01,3760,-956
LOC106558224,0.125638172,0,2805,1.26E-01,3761,-956
SP140,0.125728941,0,2806,1.26E-01,3762,-956
LOC102152285,0.125753562,0,2807,1.26E-01,3763,-956
LOC106559469,0.125887591,0,2808,1.26E-01,3764,-956
DAPP1,0.125887591,0,2809,1.26E-01,3765,-956
RORB,0.125891005,0,2810,1.26E-01,3766,-956
MYO9A,0.125983681,0,2812,1.26E-01,3767,-955
WNT10B,0.251992213,1,4840,1.26E-01,3768,1072
SKA3,0.126034705,0,2813,1.26E-01,3769,-956
LOC102157316,0.12612188,0,2814,1.26E-01,3770,-956
CNGA3,0.630695699,4,9522,1.26E-01,3771,5751
COPG1,0.126267741,0,2815,1.26E-01,3772,-957
CCDC58,0.126367487,0,2816,1.26E-01,3773,-957
IL1R1,0.126386114,0,2817,1.26E-01,3774,-957
IL1R2,0.126386114,0,2818,1.26E-01,3775,-957
MAP4K4,0.126386114,0,2819,1.26E-01,3776,-957
B3GNT7,0.126442973,0,2820,1.26E-01,3777,-957
LOC106558136,0.126488975,0,2821,1.26E-01,3778,-957
KIF6,0.126495206,0,2822,1.26E-01,3779,-957
EGFLAM,0.126504745,0,2823,1.27E-01,3780,-957
WDR92,0.126535936,0,2824,1.27E-01,3781,-957
PPP3R1,0.126535936,0,2825,1.27E-01,3782,-957
SYK,0.126572254,0,2826,1.27E-01,3783,-957
LOC106558935,0.126713451,0,2827,1.27E-01,3784,-957
LIMCH1,0.126848456,0,2828,1.27E-01,3785,-957
BEND4,0.126848456,0,2829,1.27E-01,3786,-957
WARS,0.127117198,0,2830,1.27E-01,3787,-957
DTX4,0.127167236,0,2831,1.27E-01,3788,-957
LOC102157060,0.127297477,0,2832,1.27E-01,3789,-957
NOL7,0.127383215,0,2833,1.27E-01,3790,-957
BCL2A1,0.127417154,0,2834,1.27E-01,3791,-957
CNTROB,0.127450886,0,2835,1.27E-01,3792,-957
ALOX15B,0.127450886,0,2836,1.27E-01,3793,-957
RNF222,0.127450886,0,2840,1.27E-01,3794,-954
RHCG,0.127466176,0,2841,1.27E-01,3795,-954
LOC102151812,0.127466176,0,2842,1.27E-01,3796,-954
LOC106559736,0.127609989,0,2843,1.28E-01,3797,-954
RBM28,0.894343169,6,11729,1.28E-01,3798,7931
TBC1D15,0.127771225,0,2844,1.28E-01,3799,-955
TPH2,0.127771225,0,2845,1.28E-01,3800,-955
TYRP1,0.511439219,3,8303,1.28E-01,3801,4502
ZNF174,0.127904587,0,2846,1.28E-01,3802,-956
ZNF434,0.127904587,0,2847,1.28E-01,3803,-956
HNF4G,0.128110183,0,2850,1.28E-01,3804,-954
CPSF7,0.128128573,0,2851,1.28E-01,3805,-954
MYO6,0.256315081,1,4917,1.28E-01,3806,1111
LOC102156690,0.128167017,0,2852,1.28E-01,3807,-955
NUP155,0.128167017,0,2853,1.28E-01,3808,-955
SYT10,0.128182352,0,2854,1.28E-01,3809,-955
ATP5O,0.12824412,0,2855,1.28E-01,3810,-955
HSD11B1,0.256497877,1,4921,1.28E-01,3811,1110
LOC487459,0.128310223,0,2856,1.28E-01,3812,-956
LOC102151917,0.128310223,0,2857,1.28E-01,3813,-956
MAGI1,0.128480401,0,2858,1.28E-01,3814,-956
MAT1A,0.513958412,3,8351,1.28E-01,3815,4536
GOLPH3L,0.128574309,0,2859,1.29E-01,3816,-957
FLNC,0.900079073,6,11787,1.29E-01,3817,7970
SNX8,0.128614435,0,2861,1.29E-01,3818,-957
FTSJ2,0.128614435,0,2862,1.29E-01,3819,-957
LOC102155478,0.128651654,0,2863,1.29E-01,3820,-957
LOC102155521,0.128651654,0,2864,1.29E-01,3821,-957
RWDD2B,0.128688167,0,2865,1.29E-01,3822,-957
CCT8,0.128688167,0,2866,1.29E-01,3823,-957
SULT6B1,0.128747514,0,2867,1.29E-01,3824,-957
RAD51B,0.128780846,0,2868,1.29E-01,3825,-957
KRT2,0.128850076,0,2869,1.29E-01,3826,-957
KRT72,0.128850076,0,2870,1.29E-01,3827,-957
COX4I2,0.773411005,5,10828,1.29E-01,3828,7000
OPTN,0.774433185,5,10834,1.29E-01,3829,7005
SLC16A10,0.129105325,0,2872,1.29E-01,3830,-958
CD83,0.129127854,0,2873,1.29E-01,3831,-958
LOC106559407,0.129196257,0,2874,1.29E-01,3832,-958
LOC106559408,0.129196257,0,2875,1.29E-01,3833,-958
TLX1,0.258430291,1,4964,1.29E-01,3834,1130
COL24A1,0.129327255,0,2876,1.29E-01,3835,-959
LOC102153519,0.129329223,0,2877,1.29E-01,3836,-959
RNGTT,0.129342342,0,2878,1.29E-01,3837,-959
CFAP52,0.129351044,0,2879,1.29E-01,3838,-959
LOC102153955,0.129464576,0,2880,1.29E-01,3839,-959
LOC106558622,0.129547997,0,2881,1.30E-01,3840,-959
ENPP6,0.129600751,0,2882,1.30E-01,3841,-959
DLG2,0.129660815,0,2883,1.30E-01,3842,-959
SMOX,0.129669135,0,2884,1.30E-01,3843,-959
DCLK2,0.129861737,0,2886,1.30E-01,3844,-958
LOC102151982,0.12989685,0,2887,1.30E-01,3845,-958
SUPT3H,0.129967647,0,2888,1.30E-01,3846,-958
LOC102156311,0.129967647,0,2889,1.30E-01,3847,-958
LOC106559914,0.13003435,0,2890,1.30E-01,3848,-958
LOC106558058,0.130105347,0,2891,1.30E-01,3849,-958
CD8A,0.260242582,1,4992,1.30E-01,3850,1142
COL13A1,0.130145705,0,2892,1.30E-01,3851,-959
TCF7L2,0.130274633,0,2893,1.30E-01,3852,-959
TLR4,0.130283805,0,2894,1.30E-01,3853,-959
DOCK2,0.260698821,1,5005,1.30E-01,3854,1151
LOC102155158,0.130351632,0,2895,1.30E-01,3855,-960
FRMD3,0.130354367,0,2896,1.30E-01,3856,-960
RASEF,0.130354367,0,2897,1.30E-01,3857,-960
C17H2orf70,0.130386857,0,2898,1.30E-01,3858,-960
CIB4,0.130386857,0,2899,1.30E-01,3859,-960
LOC102154626,0.130386857,0,2900,1.30E-01,3860,-960
LEPR,0.392100129,2,6787,1.31E-01,3861,2926
SLC2A13,0.130723485,0,2901,1.31E-01,3862,-961
ABCD2,0.130723485,0,2902,1.31E-01,3863,-961
WDR25,0.130781341,0,2903,1.31E-01,3864,-961
MAD1L1,0.130990824,0,2904,1.31E-01,3865,-961
TMEM45B,0.131002314,0,2905,1.31E-01,3866,-961
AKAP13,0.131038593,0,2906,1.31E-01,3867,-961
KLHL25,0.131038593,0,2907,1.31E-01,3868,-961
AGBL1,0.131038593,0,2908,1.31E-01,3869,-961
7-Mar,0.131048661,0,2909,1.31E-01,3870,-961
ZAP70,0.525231296,3,8477,1.31E-01,3871,4606
C21H11orf30,0.131325197,0,2910,1.31E-01,3872,-962
LOC478984,0.131374713,0,2911,1.31E-01,3873,-962
GRIK1,0.131651756,0,2912,1.32E-01,3874,-962
KIF15,0.131664067,0,2913,1.32E-01,3875,-962
CPNE8,0.131677073,0,2914,1.32E-01,3876,-962
RPL38,0.131764643,0,2915,1.32E-01,3877,-962
DDX54,0.131888442,0,2916,1.32E-01,3878,-962
RITA1,0.131888442,0,2917,1.32E-01,3879,-962
IQCD,0.131888442,0,2918,1.32E-01,3880,-962
CDSN,0.527951373,3,8512,1.32E-01,3881,4631
TTC7B,0.132557796,0,2920,1.33E-01,3882,-962
LOC106558664,0.132616243,0,2921,1.33E-01,3883,-962
LOC106558724,0.132674226,0,2922,1.33E-01,3884,-962
LOC106558723,0.132674226,0,2923,1.33E-01,3885,-962
SMIM7,0.132817568,0,2924,1.33E-01,3886,-962
EPS15L1,0.132817568,0,2925,1.33E-01,3887,-962
DYTN,0.132818721,0,2926,1.33E-01,3888,-962
LOC102152056,0.133024847,0,2928,1.33E-01,3889,-961
LOC102153304,0.133079813,0,2930,1.33E-01,3890,-960
AGRN,0.665848958,4,9870,1.33E-01,3891,5979
ISCU,0.800544351,5,11028,1.33E-01,3892,7136
FADD,0.667876026,4,9900,1.34E-01,3893,6007
PON2,0.133607392,0,2931,1.34E-01,3894,-963
LOC609648,0.133618974,0,2932,1.34E-01,3895,-963
CHIA,0.133646555,0,2933,1.34E-01,3896,-963
CORIN,0.133676859,0,2934,1.34E-01,3897,-963
LOC484463,0.133722607,0,2935,1.34E-01,3898,-963
CPN1,0.401245766,2,6888,1.34E-01,3899,2989
MFAP5,0.535182617,3,8596,1.34E-01,3900,4696
FAM219B,0.13394757,0,2937,1.34E-01,3901,-964
SYN3,0.133966132,0,2938,1.34E-01,3902,-964
PRKAR1B,0.133987073,0,2939,1.34E-01,3903,-964
CEP126,0.134004998,0,2940,1.34E-01,3904,-964
ANGPTL5,0.134004998,0,2941,1.34E-01,3905,-964
RAPGEF5,0.134050069,0,2942,1.34E-01,3906,-964
SORCS1,0.134151062,0,2944,1.34E-01,3907,-963
CA3,0.134302028,0,2945,1.34E-01,3908,-963
PAX7,0.134315623,0,2946,1.34E-01,3909,-963
LOC102153604,0.134332651,0,2947,1.34E-01,3910,-963
LGR4,0.134355275,0,2948,1.34E-01,3911,-963
ABCB10,0.134527405,0,2950,1.35E-01,3912,-962
NUP133,0.134527405,0,2951,1.35E-01,3913,-962
ANPEP,0.134582766,0,2952,1.35E-01,3914,-962
CD40,0.538428869,3,8621,1.35E-01,3915,4706
TNPO3,0.538473989,3,8625,1.35E-01,3916,4709
CCDC91,0.134760076,0,2953,1.35E-01,3917,-964
LOC106558168,0.134854169,0,2954,1.35E-01,3918,-964
GPR161,0.809193823,5,11100,1.35E-01,3919,7181
LOC106558796,0.134890087,0,2955,1.35E-01,3920,-965
TMPRSS15,0.404733449,2,6931,1.35E-01,3921,3010
LOC102156296,0.135032397,0,2956,1.35E-01,3922,-966
TANK,0.13517991,0,2958,1.35E-01,3923,-965
LOC102153777,0.135230051,0,2959,1.35E-01,3924,-965
FAM53B,0.135298788,0,2960,1.35E-01,3925,-965
ZDHHC2,0.135439649,0,2961,1.35E-01,3926,-965
LOC102152603,0.135537671,0,2962,1.36E-01,3927,-965
PROC,0.677890475,4,10022,1.36E-01,3928,6094
TBX5,0.949197268,6,12073,1.36E-01,3929,8144
PUM1,0.135730951,0,2964,1.36E-01,3930,-966
LOC102155561,0.135730951,0,2965,1.36E-01,3931,-966
MCF2L,0.135769106,0,2966,1.36E-01,3932,-966
GPR55,0.135787361,0,2967,1.36E-01,3933,-966
LOC100686856,0.135787361,0,2968,1.36E-01,3934,-966
LOC106558212,0.135819746,0,2969,1.36E-01,3935,-966
CCDC73,0.135861299,0,2970,1.36E-01,3936,-966
CASZ1,0.13588345,0,2971,1.36E-01,3937,-966
KLF12,0.135911981,0,2972,1.36E-01,3938,-966
PTCHD4,0.136043536,0,2973,1.36E-01,3939,-966
LOC106557774,0.13608733,0,2974,1.36E-01,3940,-966
PALLD,0.13608733,0,2975,1.36E-01,3941,-966
CBR4,0.13608733,0,2976,1.36E-01,3942,-966
TTBK2,0.816592669,5,11165,1.36E-01,3943,7222
BHLHA15,0.136101902,0,2977,1.36E-01,3944,-967
PIP5K1C,0.544929625,3,8709,1.36E-01,3945,4764
LOC102153864,0.136290258,0,2978,1.36E-01,3946,-968
ZC3HAV1L,0.136320746,0,2979,1.36E-01,3947,-968
WDR1,0.136550947,0,2981,1.37E-01,3948,-967
SIX5,0.956571338,6,12116,1.37E-01,3949,8167
CRYGA,0.136693436,0,2983,1.37E-01,3950,-967
UBE2W,0.136705289,0,2984,1.37E-01,3951,-967
CABP4,0.683708281,4,10079,1.37E-01,3952,6127
LOC106559143,0.136822526,0,2986,1.37E-01,3953,-967
MRPL52,0.136822526,0,2987,1.37E-01,3954,-967
FMN1,0.13682909,0,2988,1.37E-01,3955,-967
LOC106558057,0.13682909,0,2989,1.37E-01,3956,-967
GREM1,0.13682909,0,2990,1.37E-01,3957,-967
SCG5,0.13682909,0,2991,1.37E-01,3958,-967
ARHGAP11A,0.13682909,0,2992,1.37E-01,3959,-967
NAB1,0.136837401,0,2993,1.37E-01,3960,-967
EPHA7,0.136856804,0,2994,1.37E-01,3961,-967
FAN1,0.27391228,1,5200,1.37E-01,3962,1238
LOC478773,0.136991334,0,2995,1.37E-01,3963,-968
CSRNP3,0.136991334,0,2996,1.37E-01,3964,-968
FNDC3B,0.136991828,0,2997,1.37E-01,3965,-968
RGS9,0.411132792,2,7050,1.37E-01,3966,3084
USP31,0.137102542,0,2999,1.37E-01,3967,-968
CTCFL,0.137110608,0,3000,1.37E-01,3968,-968
RNLS,0.137111274,0,3001,1.37E-01,3969,-968
LIPJ,0.137111274,0,3002,1.37E-01,3970,-968
SF3B5,0.137125661,0,3003,1.37E-01,3971,-968
BIRC3,0.548639049,3,8759,1.37E-01,3972,4787
FAM49B,0.137264416,0,3004,1.37E-01,3973,-969
OC90,0.137264416,0,3005,1.37E-01,3974,-969
BNC1,0.137421325,0,3006,1.37E-01,3975,-969
EFTUD1,0.137421325,0,3007,1.37E-01,3976,-969
NRP2,0.137706469,0,3008,1.38E-01,3977,-969
TMC2,0.137706741,0,3009,1.38E-01,3978,-969
LOC102151563,0.137707353,0,3010,1.38E-01,3979,-969
PAPD5,0.137981205,0,3011,1.38E-01,3980,-969
LOC483521,0.137981205,0,3012,1.38E-01,3981,-969
LOC483527,0.137981205,0,3013,1.38E-01,3982,-969
LOC100684477,0.137981205,0,3014,1.38E-01,3983,-969
LOC100685566,0.137981205,0,3015,1.38E-01,3984,-969
LOC483541,0.137981205,0,3016,1.38E-01,3985,-969
DSCAM,0.138154381,0,3017,1.38E-01,3986,-969
ACTN2,0.82910258,5,11279,1.38E-01,3987,7292
REXO1,0.13822107,0,3018,1.38E-01,3988,-970
KCNJ12,0.138228869,0,3019,1.38E-01,3989,-970
C6H16orf62,0.138233765,0,3020,1.38E-01,3990,-970
STYK1,0.138290374,0,3021,1.38E-01,3991,-970
C1H6orf58,0.138416308,0,3022,1.38E-01,3992,-970
LOC612694,0.138416308,0,3023,1.38E-01,3993,-970
BNC2,0.138866446,0,3026,1.39E-01,3994,-968
GPATCH2,0.139188243,0,3027,1.39E-01,3995,-968
PRMT8,0.139341772,0,3028,1.39E-01,3996,-968
TMEM207,0.139341772,0,3029,1.39E-01,3997,-968
TRH,0.836759219,5,11362,1.39E-01,3998,7364
KIAA1324,0.139547264,0,3030,1.40E-01,3999,-969
SH3RF3,0.139707554,0,3032,1.40E-01,4000,-968
LOC102153625,0.139719692,0,3033,1.40E-01,4001,-968
TMEM242,0.139728178,0,3035,1.40E-01,4002,-967
LOC102155788,0.139765483,0,3036,1.40E-01,4003,-967
LOC102151150,0.139765483,0,3037,1.40E-01,4004,-967
LOC106560146,0.139766447,0,3038,1.40E-01,4005,-967
EBF3,0.139881329,0,3040,1.40E-01,4006,-966
REC114,0.139951463,0,3041,1.40E-01,4007,-966
EMCN,0.139981338,0,3042,1.40E-01,4008,-966
LOC100683453,0.140279857,0,3043,1.40E-01,4009,-966
C31H21orf140,0.14041535,0,3044,1.40E-01,4010,-966
TMPO,0.702212344,4,10238,1.40E-01,4011,6227
TFB1M,0.140465169,0,3045,1.40E-01,4012,-967
ACAA1,0.140481217,0,3047,1.40E-01,4013,-966
OXSR1,0.140481217,0,3049,1.40E-01,4014,-965
XYLB,0.140481217,0,3050,1.40E-01,4015,-965
FAXC,0.140544024,0,3051,1.41E-01,4016,-965
TMOD3,0.140544024,0,3052,1.41E-01,4017,-965
LOC102151246,0.140544024,0,3053,1.41E-01,4018,-965
MYO5C,0.140544024,0,3054,1.41E-01,4019,-965
LOC106558643,0.140844764,0,3055,1.41E-01,4020,-965
LOC106559541,0.140887646,0,3057,1.41E-01,4021,-964
CDK5R1,0.140896372,0,3058,1.41E-01,4022,-964
C12H6orf203,0.141043792,0,3059,1.41E-01,4023,-964
MFSD6,0.141077617,0,3060,1.41E-01,4024,-964
NEMP2,0.141077617,0,3061,1.41E-01,4025,-964
KCND2,0.141119436,0,3062,1.41E-01,4026,-964
FANK1,0.141327384,0,3063,1.41E-01,4027,-964
FBXL13,0.141336708,0,3064,1.41E-01,4028,-964
GSAP,0.141336708,0,3065,1.41E-01,4029,-964
SYCP3,0.282892066,1,5319,1.41E-01,4030,1289
NT5DC1,0.141598766,0,3068,1.42E-01,4031,-963
LOC607807,0.141810852,0,3070,1.42E-01,4032,-962
MIR708,0.14187115,0,3071,1.42E-01,4033,-962
PHLPP1,0.14193808,0,3072,1.42E-01,4034,-962
SLC2A9,0.141939924,0,3073,1.42E-01,4035,-962
SDHAF2,0.142003983,0,3074,1.42E-01,4036,-962
SPACA3,0.142170334,0,3075,1.42E-01,4037,-962
PRKAR2A,0.142170334,0,3076,1.42E-01,4038,-962
CELSR3,0.142170334,0,3077,1.42E-01,4039,-962
LOC608455,0.142170334,0,3078,1.42E-01,4040,-962
SELE,0.142314574,0,3080,1.42E-01,4041,-961
LOC102155513,0.142466477,0,3081,1.42E-01,4042,-961
MIR6516,0.142466477,0,3082,1.42E-01,4043,-961
LOC102155567,0.142466477,0,3083,1.42E-01,4044,-961
MEIS1,0.142555996,0,3084,1.43E-01,4045,-961
NLRC5,0.142650098,0,3086,1.43E-01,4046,-960
VAT1L,0.142664322,0,3087,1.43E-01,4047,-960
SH3GL2,0.142681447,0,3088,1.43E-01,4048,-960
ENO2,0.142723702,0,3089,1.43E-01,4049,-960
KIF26B,0.142861048,0,3090,1.43E-01,4050,-960
LOC102154020,0.142883837,0,3091,1.43E-01,4051,-960
ZNF689,0.142883837,0,3092,1.43E-01,4052,-960
DCTPP1,0.142883837,0,3093,1.43E-01,4053,-960
DIMT1,0.142951683,0,3094,1.43E-01,4054,-960
FSCB,0.142980157,0,3095,1.43E-01,4055,-960
LOC607708,0.143208908,0,3096,1.43E-01,4056,-960
TNIP1,0.143387439,0,3097,1.43E-01,4057,-960
LOC102152543,0.143573212,0,3099,1.44E-01,4058,-959
LOC102152492,0.143573212,0,3100,1.44E-01,4059,-959
GLMN,0.430764836,2,7297,1.44E-01,4060,3237
LOC102155077,0.143678558,0,3101,1.44E-01,4061,-960
GEMIN5,0.14368895,0,3102,1.44E-01,4062,-960
LOC609208,0.143713565,0,3103,1.44E-01,4063,-960
ESR1,0.287432406,1,5372,1.44E-01,4064,1308
ARHGAP17,0.143735843,0,3104,1.44E-01,4065,-961
PIK3C2G,0.143754978,0,3105,1.44E-01,4066,-961
LOC102156982,0.143757678,0,3106,1.44E-01,4067,-961
UBR2,0.143757678,0,3107,1.44E-01,4068,-961
SPINK1,0.431281359,2,7304,1.44E-01,4069,3235
UBR7,0.14385914,0,3108,1.44E-01,4070,-962
ACSL1,0.143927903,0,3109,1.44E-01,4071,-962
ZC3H8,0.144054774,0,3110,1.44E-01,4072,-962
NCKAP1L,0.144140993,0,3111,1.44E-01,4073,-962
MLF2,0.144283216,0,3112,1.44E-01,4074,-962
ASZ1,0.144283777,0,3113,1.44E-01,4075,-962
PRKAA1,0.144296246,0,3114,1.44E-01,4076,-962
LMAN1,0.144351309,0,3115,1.44E-01,4077,-962
SMAP1,0.144471545,0,3116,1.44E-01,4078,-962
B3GAT2,0.144471545,0,3117,1.44E-01,4079,-962
LOC102156022,0.14449866,0,3118,1.44E-01,4080,-962
TMEM132E,0.144601376,0,3119,1.45E-01,4081,-962
HTR1F,0.144989347,0,3122,1.45E-01,4082,-960
LOC102152058,0.144989347,0,3123,1.45E-01,4083,-960
LOC102152193,0.144989347,0,3125,1.45E-01,4084,-959
VGLL3,0.144989347,0,3126,1.45E-01,4085,-959
PLEK,0.145056663,0,3127,1.45E-01,4086,-959
FGB,0.435548226,2,7349,1.45E-01,4087,3262
ARHGEF33,0.145220847,0,3128,1.45E-01,4088,-960
ZER1,0.145286765,0,3132,1.45E-01,4089,-957
DNASE2B,0.145371511,0,3134,1.45E-01,4090,-956
SAMD13,0.145371511,0,3135,1.45E-01,4091,-956
LOC102152594,0.145380763,0,3136,1.45E-01,4092,-956
DNAJA1,0.145673443,0,3137,1.46E-01,4093,-956
LOC106559488,0.145673443,0,3138,1.46E-01,4094,-956
MIR207,0.145673443,0,3139,1.46E-01,4095,-956
LOC100683333,0.145684011,0,3140,1.46E-01,4096,-956
MCHR2,0.145724649,0,3142,1.46E-01,4097,-955
LOC102153675,0.145724649,0,3143,1.46E-01,4098,-955
KLHL31,0.145774001,0,3144,1.46E-01,4099,-955
LRRC1,0.145774001,0,3145,1.46E-01,4100,-955
COL25A1,0.291757561,1,5447,1.46E-01,4101,1346
CYP21A2,0.876561237,5,11604,1.46E-01,4102,7502
LOC102153458,0.146112086,0,3146,1.46E-01,4103,-957
PCDH9,0.146112086,0,3147,1.46E-01,4104,-957
SRGAP3,0.146123792,0,3148,1.46E-01,4105,-957
C27H12orf40,0.146138342,0,3149,1.46E-01,4106,-957
LOC102155099,0.146168625,0,3150,1.46E-01,4107,-957
WDR41,0.146319359,0,3151,1.46E-01,4108,-957
TMED3,0.146347867,0,3153,1.46E-01,4109,-956
ANKRD34C,0.146347867,0,3154,1.46E-01,4110,-956
CDX1,0.146439635,0,3156,1.46E-01,4111,-955
CELF3,0.146521195,0,3157,1.47E-01,4112,-955
ZKSCAN2,0.146546303,0,3158,1.47E-01,4113,-955
AQP8,0.146546303,0,3159,1.47E-01,4114,-955
URI1,0.146578133,0,3160,1.47E-01,4115,-955
LAMA5,0.146606222,0,3161,1.47E-01,4116,-955
STON2,0.146710483,0,3162,1.47E-01,4117,-955
PANX1,0.147019428,0,3163,1.47E-01,4118,-955
POLE,0.735588195,4,10502,1.47E-01,4119,6383
KCNK1,0.147148614,0,3165,1.47E-01,4120,-955
LOC102152987,0.147202659,0,3166,1.47E-01,4121,-955
LOC106560060,0.147231026,0,3167,1.47E-01,4122,-955
LOC476151,0.147231026,0,3168,1.47E-01,4123,-955
ARL6IP6,0.147231026,0,3169,1.47E-01,4124,-955
KNG1,0.147278272,0,3170,1.47E-01,4125,-955
ZWILCH,0.147357541,0,3171,1.47E-01,4126,-955
LCTL,0.147357541,0,3172,1.47E-01,4127,-955
RAB28,0.736910505,4,10512,1.47E-01,4128,6384
SPNS2,0.147399521,0,3173,1.47E-01,4129,-956
TBC1D22A,0.147414488,0,3174,1.47E-01,4130,-956
CERK,0.147414488,0,3175,1.47E-01,4131,-956
GRAMD4,0.147414488,0,3176,1.47E-01,4132,-956
MYB,0.295126026,1,5473,1.48E-01,4133,1340
MTSS1,0.147602817,0,3177,1.48E-01,4134,-957
ITGAL,0.147607384,0,3178,1.48E-01,4135,-957
HIAT1,0.147619493,0,3179,1.48E-01,4136,-957
NLRP10,0.147845514,0,3181,1.48E-01,4137,-956
NCAN,0.147904379,0,3183,1.48E-01,4138,-955
AMOTL1,0.147922444,0,3184,1.48E-01,4139,-955
UBE2J1,0.14793807,0,3185,1.48E-01,4140,-955
LOC102157308,0.147949059,0,3186,1.48E-01,4141,-955
TRPM1,0.592388898,3,9231,1.48E-01,4142,5089
